,security_name,isin,sector,total_weight_pct,num_funds_holding,avg_weight_pct,coverage_pct
0,360 One Wam Ltd Ordinary Shares,INE466L01038,Financial Services,2.65149,2,0.27,20.0
531,Suzlon Energy Ltd,INE040H01021,Industrials,2.6661,2,0.27,20.0
569,Trent Ltd,INE849A01020,Consumer Cyclical,2.71212,2,0.27,20.0
58,Ather Energy Ltd,INE0LEZ01016,Consumer Cyclical,2.55093,2,0.26,20.0
188,Five-Star Business Finance Ltd,INE128S01021,Financial Services,2.63756,2,0.26,20.0
79,Bharat Dynamics Ltd Ordinary Shares,INE171Z01026,Industrials,2.6330400000000003,3,0.26,30.0
99,CE Info Systems Ltd,INE0BV301023,Technology,2.55851,1,0.26,10.0
50,Arvind Ltd,INE034A01011,Consumer Cyclical,2.6181900000000002,2,0.26,20.0
404,PCBL Chemical Ltd,INE602A01031,Basic Materials,2.56979,2,0.26,20.0
415,Pfizer Ltd,INE182A01018,Healthcare,2.52819,2,0.25,20.0
141,Deepak Fertilisers & Petrochemicals Corp Ltd,INE501A01019,Basic Materials,2.54548,3,0.25,30.0
241,Hexaware Technologies Ltd Ordinary Shares,INE093A01041,Technology,2.48632,2,0.25,20.0
152,E I D Parry India Ltd,INE126A01031,Basic Materials,2.40841,2,0.24,20.0
9,Adani Power Ltd,INE814H01011,Utilities,2.36117,1,0.24,10.0
615,Wonderla Holidays Ltd,INE066O01014,Consumer Cyclical,2.36658,2,0.24,20.0
366,Minda Corp Ltd,INE842C01021,Consumer Cyclical,2.40912,3,0.24,30.0
421,Poly Medicure Ltd,INE205C01021,Healthcare,2.39217,1,0.24,10.0
20,Afcons Infrastructure Ltd,INE101I01011,Industrials,2.25442,3,0.23,30.0
456,Redington Ltd,INE891D01026,Technology,2.26451,2,0.23,20.0
508,State Bank of India,INE062A01020,Financial Services,2.3283500000000004,2,0.23,20.0
426,Power Mech Projects Ltd,INE211R01019,Industrials,2.34815,2,0.23,20.0
217,Great Eastern Shipping Co Ltd,INE017A01032,Industrials,2.27684,2,0.23,20.0
238,HealthCare Global Enterprises Ltd,INE075I01017,Healthcare,2.30769,2,0.23,20.0
491,Sharda Motor Industries Ltd,INE597I01028,Consumer Cyclical,2.34223,4,0.23,40.0
621,Zydus Wellness Ltd,INE768C01010,Consumer Defensive,2.31767,2,0.23,20.0
