,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes,funds,funds_entered,funds_exited,funds_entered_count,funds_exited_count,current_shares_count,share_change_count
Sunteck Realty Ltd,0,1,1580727.0,0.7649514542683336,False,False,True,SBI Small Cap Fund,,,0,0,1,1
J.B. Chemicals & Pharmaceuticals Ltd,0,5,883622.2,0.0,False,False,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,Franklin Small Cap Fund,0,1,5,4
IRM Energy Ltd,0,1,393969.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Akums Drugs and Pharmaceuticals Ltd,0,1,1743851.0,1.1997019460554859,False,False,True,SBI Small Cap Fund,,,0,0,1,1
GE Vernova T&D India Ltd,0,4,314073.0,-28.625846853496903,False,True,True,"Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,SBI Small Cap Fund,0,1,4,4
TVS Holdings Ltd,0,1,134956.0,3.296619185757258,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Saregama India Ltd,1,1,400000.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
Updater Services Ltd,0,1,2960080.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
eClerx Services Ltd,0,5,1237457.0,-0.11426171817454005,False,False,True,"HDFC Small Cap Fund,Kotak Small Cap Fund,Mirae Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,5,5
Bank of India,0,1,1222146.0,-22.274923110972043,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Emcure Pharmaceuticals Ltd,1,2,432846.5,0.0,False,False,,"Motilal Oswal Small Cap Fund,SBI Small Cap Fund",Motilal Oswal Small Cap Fund,,1,0,2,1
Awfis Space Solutions Ltd,0,4,2017170.75,7.204849200858938,False,False,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,Mirae Small Cap Fund,SBI Small Cap Fund",,Franklin Small Cap Fund,0,1,4,4
Ellenbarrie Industrial Gases Ltd,0,2,1365190.5,0.0,False,False,True,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
